Timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,stabilizer.pitch,stabilizer.roll
181646,0,0,0,0,-1.2906917333602905,-6.855827808380127
181656,0,0,0,0,-1.2660915851593018,-6.732275009155273
181666,0,0,0,0,-1.2153438329696655,-6.989522933959961
181676,0,0,0,0,-1.2059340476989746,-7.334431171417236
181686,0,0,0,0,-1.2321972846984863,-7.892114639282227
181696,0,0,0,0,-1.278475284576416,-8.101531982421875
181706,0,0,0,0,-1.2887033224105835,-8.093008995056152
181716,0,0,0,0,-1.3003469705581665,-8.02830696105957
181726,0,0,0,0,-1.2991790771484375,-7.92765998840332
181736,0,0,0,0,-1.2970582246780396,-7.866440296173096
181746,0,0,0,0,-1.3071178197860718,-7.787184715270996
181756,0,0,0,0,-1.3222697973251343,-7.656771659851074
181766,0,0,0,0,-1.339953899383545,-7.390297889709473
181776,0,0,0,0,-1.34760582447052,-7.262004375457764
181786,0,0,0,0,-1.3522228002548218,-7.1663947105407715
181796,0,0,0,0,-1.3765851259231567,-7.09436559677124
181806,0,0,0,0,-1.451416015625,-6.833087921142578
181816,0,0,0,0,-1.4828344583511353,-6.600581645965576
181826,0,0,0,0,-1.5501400232315063,-6.212441921234131
181836,0,0,0,0,-1.5809308290481567,-5.941192150115967
181846,0,0,0,0,-1.504024863243103,-5.847116947174072
181856,0,0,0,0,-1.4716768264770508,-6.006439208984375
181866,0,0,0,0,-1.459249496459961,-6.3769917488098145
181876,0,0,0,0,-1.4540704488754272,-6.650527000427246
181886,0,0,0,0,-1.5153820514678955,-6.998401641845703
181896,0,0,0,0,-1.5138214826583862,-7.158349990844727
181906,0,0,0,0,-1.483573079109192,-7.390155792236328
181916,0,0,0,0,-1.4633007049560547,-7.631889343261719
181926,0,0,0,0,-1.4260894060134888,-8.276135444641113
181936,0,0,0,0,-1.4725996255874634,-8.945523262023926
181946,0,0,0,0,-1.514748454093933,-10.14806079864502
181956,0,0,0,0,-1.5702176094055176,-10.887734413146973
181966,0,0,0,0,-1.6085841655731201,-11.587862014770508
181976,0,0,0,0,-1.6265041828155518,-11.778328895568848
181986,0,0,0,0,-1.6255289316177368,-11.744330406188965
181996,0,0,0,0,-1.6201436519622803,-11.545924186706543
182006,0,0,0,0,-1.6094677448272705,-11.10068416595459
182016,0,0,0,0,-1.5519298315048218,-10.711150169372559
182026,0,0,0,0,-1.4049568176269531,-10.077238082885742
182036,0,0,0,0,-1.3369868993759155,-9.724776268005371
182046,0,0,0,0,-1.191409945487976,-9.193876266479492
182056,0,0,0,0,-1.1425467729568481,-8.8556489944458
182066,0,0,0,0,-0.9716556072235107,-8.325366973876953
182076,0,0,0,0,-0.49361947178840637,-7.7513861656188965
182086,0,0,0,0,0.6978709697723389,-6.632975101470947
182096,0,0,0,0,1.481221079826355,-6.080613613128662
